id,home_team_win
0,False
1,False
2,False
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,False
14,False
15,True
16,False
17,False
18,True
19,False
20,False
21,True
22,True
23,False
24,True
25,False
26,True
27,True
28,True
29,False
30,True
31,True
32,True
33,True
34,False
35,True
36,True
37,True
38,False
39,False
40,True
41,True
42,False
43,False
44,True
45,False
46,True
47,True
48,False
49,True
50,True
51,True
52,True
53,True
54,True
55,True
56,True
57,True
58,False
59,False
60,True
61,False
62,True
63,True
64,True
65,True
66,False
67,False
68,False
69,False
70,True
71,False
72,False
73,True
74,False
75,True
76,False
77,True
78,True
79,True
80,False
81,False
82,False
83,False
84,False
85,True
86,False
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,False
96,True
97,True
98,True
99,True
100,False
101,False
102,True
103,True
104,True
105,False
106,True
107,True
108,False
109,False
110,False
111,True
112,True
113,True
114,True
115,False
116,False
117,False
118,False
119,False
120,True
121,False
122,False
123,False
124,False
125,True
126,False
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,False
135,False
136,True
137,False
138,False
139,False
140,True
141,False
142,False
143,True
144,True
145,True
146,True
147,False
148,True
149,False
150,False
151,False
152,True
153,False
154,True
155,True
156,False
157,False
158,False
159,True
160,False
161,True
162,False
163,False
164,True
165,False
166,True
167,True
168,False
169,True
170,True
171,True
172,True
173,False
174,False
175,False
176,False
177,True
178,True
179,False
180,False
181,True
182,False
183,True
184,True
185,True
186,False
187,True
188,False
189,False
190,False
191,False
192,False
193,True
194,True
195,False
196,False
197,True
198,False
199,True
200,False
201,True
202,False
203,True
204,True
205,False
206,False
207,False
208,True
209,True
210,False
211,False
212,False
213,True
214,True
215,True
216,False
217,False
218,False
219,True
220,False
221,True
222,True
223,True
224,False
225,False
226,True
227,True
228,True
229,True
230,True
231,False
232,False
233,True
234,False
235,True
236,True
237,False
238,False
239,True
240,False
241,False
242,False
243,False
244,False
245,True
246,True
247,False
248,True
249,False
250,False
251,True
252,False
253,False
254,True
255,True
256,False
257,True
